organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
The Men's Table,Statewide,The Men's Table,Statewide,hello@themenstable.org,1800 636 782,https://themenstable.org/,Men's supprt groups meet once a month.,Less than a month,No,No,No,Contact the Men's Table to find a local group and when they meet.,,,,,Free,In person,"Low intensity, Self management",,Mental health promotion,Adult,Peer worker
The Mindful Hub,The Mindful Hub,The Mindful Hub,Statewide,Contact Form on website,,https://themindfulhub.com.au/,,Not applicable,No,No,No,Based on bookings,,,,,Paid,Online,"Low intensity, Moderate intensity",General bookings,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
The Practice,Greenborough,The Practice,Statewide,thepracticepsychology@gmail.com,(03) 9434 4653,https://www.thepracticepsychology.com/,,Not applicable,No,Yes,Yes,Saturday 9:00 am - 2:00 pm,16 Flintoff Street,Greensborough,VIC,3088,Paid,"In person, Online","High intensity, Moderate intensity, Specialist",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
The Royal Children's Hospital,Royal Children's Hospital,Mental Health  - Triage service,North Western Melbourne,Mhs.Intake@rch.org.au,1800445511,https://www.rch.org.au/mental-health/,,Not applicable,No,Yes,No,,50 Flemington Road,Parkville,VIC,3052,Free,"In person, Online, Outreach","High intensity, Specialist",Doctor/GP referral,"Medications and procedures, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services","Children, Specialised Services, Young People","Medical, Tertiary qualified"
The Royal Children's Hospital,Royal Children's Hospital,The Royal Children's Hospital | CASA | Gatehouse,Statewide,gatehouse.centre@rch.org.au,(03) 9345 6391,Gatehouse Centre : About Gatehouse (rch.org.au),,Not applicable,Yes,Yes,Yes,Crisis Care only after 9-5,50 Flemington Road,Parkville,VIC,3052,N/A,In person,Specialist,Doctor/GP referral,Primary and specialised clinical ambulatory mental health care services,"Children, Hospital, Young People","Medical, Peer worker, Tertiary qualified, Vocationally qualified"
The Royal Melbourne Hospital,Parkville,Neuropsychiatry Unit,North Western Melbourne,neuropsychiatry@mh.org.au,03 9342 8750,https://www.neuropsychiatry.org.au/,,Not applicable,No,Yes,No,inpatient clinic closed temporarily until august 2023,"Neuropsychiatry, Level 2, John Cade Building",Royal Melbourne Hospital,VIC,3050,Paid,"In person, Online","High intensity, Moderate intensity, Specialist",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services",Specialised Services,"Medical, Tertiary qualified"
The Royal Melbourne Hospital,"Royal Melbourne Hospital- Royal Park Campus, Parkville",Intensive Community Treatment for Older People,North Western Melbourne,,1300 874 243,Intensive Community Treatment for Older People | NorthWestern Mental Health (nwmh.org.au),,Not applicable,Yes,Yes,Yes,,"Royal Melbourne Hospital, Royal Park Campus, Building 5, Level 1, 34-54 Poplar Road",Parkville,VIC,3052,N/A,In person,"High intensity, Moderate intensity",Free call,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Older Adults","Medical, Tertiary qualified"
The Royal Women's Hospital,Melbourne,The Royal Women's Hospital,North Western Melbourne,,(03) 8345 2071,Women's Mental Health Service | The Royal Women's Hospital (thewomens.org.au),We only see current patients of the Women’s who have a comorbid mental health problem and hours based on hospital hours,Not applicable,Yes,Yes,Yes,,20 Flemington Road,Parkville,VIC,3052,N/A,In person,"High intensity, Moderate intensity, Specialist",Varies depending on service ,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Hospital, Specialised Services","Medical, Tertiary qualified"
The Talk Shop,Melbourne CBD,The Talk Shop,Greater Melbourne,reception@thetalkshop.com.au,1300 224 665,https://www.thetalkshop.com.au/,,Less than 6 months,No,Yes,Yes,"Saturday, 9 am–2 pm","Suite 115, Level 1/343 Little Collins St",Melbourne,VIC,3000,"Free, Paid","In person, Online","High intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
The Talk Shop,Reservoir,The Talk Shop,Greater Melbourne,reception@thetalkshop.com.au,1300 224 665,https://www.thetalkshop.com.au/,,Less than 6 months,No,Yes,Yes,"Saturday, 9 am–2 pm",60 Gertz Ave,Reservoir,VIC,3073,"Free, Paid","In person, Online","High intensity, Low intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
The Talk Shop,Wheelers Hill,The Talk Shop,Greater Melbourne,reception@thetalkshop.com.au,1300 224 665,https://www.thetalkshop.com.au/,,Less than 6 months,No,Yes,Yes,"Saturday, 9 am–2 pm","Ground Floor, 2 Brandon Park Dr",Wheelers Hill,VIC,3150,"Free, Paid","In person, Online","High intensity, Low intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
The Youth Junction Inc,Visy Cares Hub,Internal Youth Services HUB,North Western Melbourne,info@youthjunctioninc.net.au,03 9091 8200,Youth Services at The Hub - The Youth Junction (youthjunctioninc.net.au),,Not applicable,Yes,Yes,Yes,Not available unless already participating in a program,80B Harvester Road,Sunshine,VIC,3020,Free,In person,Self management,Varies depending on service ,Mental health promotion,Young People,"Peer worker, Vocationally qualified"
Thirrili,Casuarina,Postvention Response Service,Statewide,,1800 805 801,https://thirrili.com.au/postvention-support,,Not applicable,Yes,Yes,Yes,,PO Box 41855,Casuarina,NT,0811,Free,Outreach,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention",Aboriginal and Torres Strait Islander,
This Moment Psychology,Greenborough,This Moment Psychology,Statewide,leanne@thismomentpsychology.com.au,0419 347 232,https://www.thismomentpsychology.com/,,Not applicable,No,Yes,No,,2/85-87 Grimshaw St,Greensborough,VIC,3088,"Free, Paid",In person,"Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
This Way Up,Online,This Way Up,Statewide,contact@thiswayupclinic.org,(02) 8382 1437,https://thiswayup.org.au/,,Not applicable,Yes,Yes,Yes,Online programs can be accessed anytime.,"Level 4, The O’Brien Centre, St. Vincent’s Hospital, 394-404 Victoria Street",Darlinghurst,NSW,2010,Free,Online,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Thrive & Grow Psychology,Ringwood,Thrive & Grow Psychology,Statewide,ThriveGrow@gmail.com,0439 404 551,Thrive & Grow Psychology (thrivegrowpsychology.com.au),,Not applicable,No,Yes,No,,17/50 New Street,Ringwood,VIC,3134,Paid,In person,"Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Thriving Children & Families,Diamond Creek,Thriving Children & Families,Statewide,info@thrivingfamilies.com.au,0431 773 486,http://www.thrivingfamilies.com.au/#home,,Not applicable,No,Yes,No,,114 Main Hurstbridge Rd,Diamond Creek,VIC,3089,Paid,In person,"Low intensity, Moderate intensity, Self management",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Children, Families",Tertiary qualified
TIACS,TIACS,TIACS,Statewide,admin@tiacs.org,0488 846 988,https://www.tiacs.org/,,Not applicable,No,Yes,Yes,Mon-Fri | 8am-10pm AEST,,,,,Free,Online,Low intensity,Free call,Primary and specialised clinical ambulatory mental health care services,Specialised Services,
TLC Psychology,TLC Psychology,TLC Psychology,Statewide,info@tlcpsychology.com.au,03 8677 9011,https://www.tlcpsychology.com.au/,,Not applicable,No,No,No,,"MDB Paediatrics, Suite 7, 90 Mitcham Rd Donvale,VIC 3111",,,,Paid,In person,Moderate intensity,General bookings,Specialised mental health community support services,Children,Tertiary qualified
Together Psychology,Croydon,Together Psychology,Statewide,,(03) 8797 2431,https://www.psychologytoday.com/au/counselling/michele-mccallum-heathmont-vic/829694,,Not applicable,No,Yes,No,,5 Yarra Road Croydon,Croydon,VIC,3136,Paid,"In person, Online","Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
To Learn Consulting,Bulleen,To Learn Consulting,Statewide,info@tolearnconsulting.com.au,1300 932 605,http://www.tolearnconsulting.com.au/,,Not applicable,No,Yes,No,,"195 Specialist Centre and Children's Clinic, Suite 8, 195 Thompsons Rd",Bulleen,VIC,3105,N/A,In person,"High intensity, Moderate intensity, Self management, Specialist",Free call,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Children, Young People",Tertiary qualified
To Learn Consulting,Kew,To Learn Consulting,Statewide,info@tolearnconsulting.com.au,1300 932 605,http://www.tolearnconsulting.com.au/,,Not applicable,No,Yes,No,,"Suite 603, 89 High St",Kew,VIC,3101,N/A,In person,"High intensity, Moderate intensity, Self management, Specialist",Free call,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Children, Young People",Tertiary qualified
Triple P,Online,Postive Parenting Program,Statewide,,+61 7 3236 1212,"Happier, healthier, less stressed kids & families | Triple P | Triple P (triplep-parenting.net.au)",,Not applicable,No,Yes,No,Some workshops may be run outside of standard hours,11 Market Street North,Indooroopilly,QLD,4068,Free,Online,"Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,Peer worker
